language_code,set_code,set_id,english_display_name,native_name,printed_total,total,restored_shared_artwork_variants
en,2011bw,0a2d5c3e-9da1-4af5-acc6-584485d8777e,McDonald's Collection 2011,McDonald's Collection 2011,12,12,0
en,2012bw,56e5b9e8-80b4-4e23-ad0c-5f86afc6759c,McDonald's Collection 2012,McDonald's Collection 2012,12,12,0
en,2014xy,19f359e2-c29f-498f-8bf6-fc19c122a361,McDonald's Collection 2014,McDonald's Collection 2014,12,12,0
en,2015xy,f7706a1b-61bc-4ff9-900c-5841034a5be6,McDonald's Collection 2015,McDonald's Collection 2015,12,12,0
en,2016xy,9722bbd8-e6d1-49ac-b080-ff9be30589bc,McDonald's Collection 2016,McDonald's Collection 2016,12,12,0
en,2017sm,d1eb29f2-3d49-447e-8f98-e3994b661350,McDonald's Collection 2017,McDonald's Collection 2017,12,12,0
en,2018sm,c770d934-a953-4923-a411-4a17b422bb96,McDonald's Collection 2018,McDonald's Collection 2018,12,12,0
en,2019sm,0ca6f0b6-6971-4342-8d0b-9c9a44e195e3,McDonald's Collection 2019,McDonald's Collection 2019,12,12,0
en,2021swsh,e41708b6-e58e-4e98-970e-0bb97f4fd03e,McDonald's Collection 2021,McDonald's Collection 2021,25,25,0
en,2022swsh,172317e0-1eb4-42a7-8624-532af705da6c,McDonald's Collection 2022,McDonald's Collection 2022,15,15,0
en,2023sv,fc4d1c92-a354-42c1-b4d0-031e4ff6cccc,McDonald's Collection 2023,McDonald's Collection 2023,15,15,0
en,2024sv,824ba136-9796-464c-8869-b5e495014940,McDonald's Collection 2024,McDonald's Collection 2024,15,15,0
en,A1,ab0614ce-3998-47d1-8f23-8b94291c0a01,Genetic Apex,Genetic Apex,226,286,0
en,A1a,031dada1-c3f5-46b4-bea0-e1298313d3fd,Mythical Island,Mythical Island,68,86,0
en,A2,eefed2f2-de7e-4793-91a6-638ffc5c827b,Space-Time Smackdown,Space-Time Smackdown,140,207,0
en,A2a,07c7e672-44f6-49a6-91e1-188946e63cf4,Triumphant Light,Triumphant Light,75,96,0
en,A2b,028e6f0e-6622-4f04-8197-619e862f3a36,Shining Revelry,Shining Revelry,72,111,0
en,A3,85b2a4da-abc0-4912-a4ac-99a9b6dc57f1,Celestial Guardians,Celestial Guardians,155,239,0
en,A3a,0fa8d92e-35d1-480c-a2b6-b058e89ba64a,Extradimensional Crisis,Extradimensional Crisis,69,103,0
en,A3b,9a7c9793-1021-44af-a04d-0405d26b8239,Eevee Grove,Eevee Grove,69,107,0
en,A4,7710e7b2-b877-46bb-9438-57f4ab99a1f1,Wisdom of Sea and Sky,Wisdom of Sea and Sky,161,241,0
en,A4a,9307a663-1764-4ff0-8f86-ff22280f7b49,Secluded Springs,Secluded Springs,71,105,0
en,B1,47b17175-557f-4d97-ac58-2fb65f698ea6,Mega Rising,Mega Rising,226,331,0
en,B1a,a3dba415-055a-463f-be5c-1c9fc8c5f387,Crimson Blaze,Crimson Blaze,69,103,0
en,B2,66542fcc-a805-41d3-9390-f51faf82f570,Fantastical Parade,Fantastical Parade,155,234,0
en,B2a,1fe886d0-2ac6-40b4-a220-fab4538285bf,Paldean Wonders,Paldean Wonders,93,131,0
en,base1,97e3aeb6-2645-4c3a-9fd4-10d95a181b6e,Base Set,Base Set,102,102,59
en,base2,739d2f18-1dd0-45dc-ba58-2195d5760ed5,Jungle,Jungle,64,64,36
en,base3,85f8c1fc-874d-4b7a-892b-2137adc6647b,Fossil,Fossil,62,62,24
en,base4,ffdf2db0-7ff9-426f-95f4-ba4165be9824,Base Set 2,Base Set 2,130,130,0
en,base5,87281266-72bb-4ece-8a82-2d9838fec89f,Team Rocket,Team Rocket,82,83,45
en,basep,ce2eea9a-f1c5-4a8e-8ff2-e782fbd89927,Wizards Black Star Promos,Wizards Black Star Promos,53,53,0
en,bog,2fa71113-d1fe-4498-a69f-581cfdfc2f9e,Best of game,Best of game,9,9,0
en,bw1,20459d78-825a-4dfa-b7ae-c0c97b8994f6,Black & White,Black & White,114,115,0
en,bw10,07fafdb9-7130-41c5-a076-301d8ca5070e,Plasma Blast,Plasma Blast,101,105,0
en,bw11,276f194e-1d23-4d12-a13a-4ebf211588bd,Legendary Treasures,Legendary Treasures,113,140,0
en,bw2,68e39d0d-c5de-4326-ae1b-51042e556edd,Emerging Powers,Emerging Powers,98,98,0
en,bw3,3b49aa99-9b03-4b32-bce4-1fb67f167345,Noble Victories,Noble Victories,101,102,0
en,bw4,383cab7b-dbc3-4d4d-96e3-d07f4f1b6744,Next Destinies,Next Destinies,99,103,0
en,bw5,62bc12c6-68e4-49a9-86b4-14db3025510f,Dark Explorers,Dark Explorers,108,111,0
en,bw6,ec087b67-2763-4b92-a34f-4183bc25649e,Dragons Exalted,Dragons Exalted,124,128,0
en,bw7,e0849e8a-ee89-4443-9ab9-639d31db4e85,Boundaries Crossed,Boundaries Crossed,149,153,0
en,bw8,42e19a74-eaac-4889-92bd-085e35f708ef,Plasma Storm,Plasma Storm,135,138,0
en,bw9,b78899e7-ea1a-442b-85af-041bd9609377,Plasma Freeze,Plasma Freeze,116,122,0
en,bwp,ba16466a-a048-4563-acf2-5507fa211b96,BW Black Star Promos,BW Black Star Promos,101,101,0
en,cel25,d8804c74-d99d-4bea-a0ba-9c7a94caa4e2,Celebrations,Celebrations,25,25,0
en,cel25cc,1005554b-9bfc-495b-b50e-561193bec4f8,Celebrations Classic Collection,Celebrations Classic Collection,25,25,0
en,col1,969c83b1-1004-4af8-8ef8-d724656bdc35,Call of Legends,Call of Legends,95,106,51
en,dc1,8fd3d411-bc40-44f6-a5e0-b69d45b57326,Double Crisis,Double Crisis,34,34,0
en,det1,e7ecfeee-b142-47e3-ad78-6fad8841a0e0,Detective Pikachu,Detective Pikachu,18,18,0
