"language","setCode","cardId","defaultVariantId","collectorNumber","variants","approvedFacePresent","beforePreferredBlank","afterPreferredBlank","presentation","sourceVariantId","assetId"
"en","swsh7","64605614-67ae-453f-ac15-6a642e2513a7","1e864459-6621-4c3c-993d-99d6c534f410","3","2","true","false","false","shared","ddef4a71-607b-4413-bb84-2a4ac62c1b65","44aae85b-5b66-4b22-aff1-16edd3ae9d7d"
"en","swsh7","d3baf5ae-994a-44e5-bce5-446a75f19a64","13435bc1-de47-48a1-948a-c731901a898e","4","2","true","false","false","exact","13435bc1-de47-48a1-948a-c731901a898e","37cbc151-85eb-4aba-91c8-a97a95eaaf74"
"en","swsh7","503a9acf-22e5-4217-99f8-3b65c0fd59b9","275ff3ff-eaaf-4d55-be67-12af59816d14","5","2","true","false","false","exact","275ff3ff-eaaf-4d55-be67-12af59816d14","46d9ed1a-455d-412d-8e39-eb31d95ae3ac"
"en","swsh7","bdfc6677-ac23-4554-b529-4d10b051bc45","191ae7ec-0b7c-4d1e-9a2e-09b01fd4bc0c","6","2","true","false","false","shared","4ec19529-5f61-4fea-a848-e63000f97438","1170327a-0279-4d5f-aff1-545e2e460035"
"en","swsh7","53eadfb7-3f3f-41f3-ae81-aa8a387d0db2","36a0417c-bf2d-4353-991e-5ebd1bfcf660","7","1","true","false","false","exact","36a0417c-bf2d-4353-991e-5ebd1bfcf660","77b466d2-ba37-44f8-8978-793d3b3c833c"
"en","swsh7","9427906b-08df-4d68-8d51-e2fb655c1c7b","2351fbc8-8492-4c0e-9dfb-67a1738362b8","9","2","true","false","false","shared","9c8861a8-282a-4299-a4fb-41cae41b799d","327ceb60-fec8-417d-8dcd-784d413057c7"
"en","swsh7","99d04433-38a2-43a6-9728-02c72282c4a0","32db9850-2573-4d0d-b250-3e46b1e9b42c","10","2","true","false","false","exact","32db9850-2573-4d0d-b250-3e46b1e9b42c","54c5e7de-c2ed-4153-a67b-908521277212"
"en","swsh7","f17b9142-5516-46e9-b76c-6c7b3d70345d","27af2583-d9e0-4a8b-b016-867388d55dbf","11","2","true","false","false","shared","f5be8380-1bd4-4a94-b886-a032730af3c5","49010672-bf76-42b7-b157-727294663b66"
"en","swsh7","03e22d56-62ff-448f-a571-b879bb587a14","448b42de-c072-4fcf-ad65-ba362f05e17e","14","1","true","false","false","exact","448b42de-c072-4fcf-ad65-ba362f05e17e","c7835452-8ad4-45a6-8b97-5b0b25ba20b5"
"en","swsh7","ff037b81-0b9b-4211-b48d-b9c0b5007ae3","19ce5e26-cb82-49b0-9aae-8d74b9c33038","16","2","true","false","false","shared","d6345ad7-7a4d-4c65-aa64-3f4e1e9f15f8","102b9e01-1c31-44d5-a171-b15c5a1e317c"
"en","swsh7","4229058e-185e-48d6-b72f-7112af2e4a7b","1b66af4e-4927-47aa-9aea-726997191b79","19","2","true","false","false","exact","1b66af4e-4927-47aa-9aea-726997191b79","4986df40-701c-4bf1-b4e9-b1f6995fd50b"
"en","swsh7","63e667be-8565-40dc-84b7-e3acaa422310","1e58aa75-ba33-4f62-a7ce-001f8497d48e","24","2","true","false","false","shared","3be2c806-040d-4b87-80e0-5477f62063ec","39ae0119-568b-4e61-94f1-3bf1873f4dd9"
